,index,short_name,player_positions,overall,potential,age,nationality_name,preferred_foot,pace,shooting,passing,dribbling,defending,physic,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,year,sex
0,0,C. Lloyd,CM,91,91,32,United States,Right,75.0,83.0,83.0,85.0,82.0,84.0,11,5,13,8,14,2016,F
1,1,C. Lloyd,CAM,91,91,32,United States,Right,75.0,83.0,83.0,85.0,82.0,84.0,11,5,13,8,14,2016,F
2,2,C. Lloyd,LM,91,91,32,United States,Right,75.0,83.0,83.0,85.0,82.0,84.0,11,5,13,8,14,2016,F
3,3,C. Lloyd,ST,91,91,32,United States,Right,75.0,83.0,83.0,85.0,82.0,84.0,11,5,13,8,14,2016,F
4,4,M. Rapinoe,LM,90,90,29,United States,Left,74.0,74.0,90.0,89.0,46.0,68.0,13,10,12,12,9,2016,F
5,5,M. Rapinoe,CM,90,90,29,United States,Left,74.0,74.0,90.0,89.0,46.0,68.0,13,10,12,12,9,2016,F
6,6,A. Wambach,ST,90,90,35,United States,Right,72.0,89.0,65.0,80.0,39.0,82.0,10,10,12,12,13,2016,F
7,7,L. Nécib,LM,90,90,28,France,Right,84.0,74.0,87.0,90.0,53.0,69.0,11,13,5,13,12,2016,F
8,8,L. Nécib,CAM,90,90,28,France,Right,84.0,74.0,87.0,90.0,53.0,69.0,11,13,5,13,12,2016,F
9,9,N. Keßler,CM,89,89,27,Germany,Right,74.0,84.0,85.0,83.0,78.0,74.0,11,15,9,9,9,2016,F
10,10,C. Sinclair,ST,88,88,32,Canada,Right,80.0,86.0,84.0,82.0,37.0,78.0,15,7,5,10,6,2016,F
11,11,C. Sinclair,LW,88,88,32,Canada,Right,80.0,86.0,84.0,82.0,37.0,78.0,15,7,5,10,6,2016,F
12,12,C. Sinclair,RW,88,88,32,Canada,Right,80.0,86.0,84.0,82.0,37.0,78.0,15,7,5,10,6,2016,F
13,13,C. Sinclair,CAM,88,88,32,Canada,Right,80.0,86.0,84.0,82.0,37.0,78.0,15,7,5,10,6,2016,F
14,14,Marta,ST,88,88,29,Brazil,Left,86.0,86.0,80.0,90.0,36.0,73.0,14,13,9,7,10,2016,F
15,15,Marta,CAM,88,88,29,Brazil,Left,86.0,86.0,80.0,90.0,36.0,73.0,14,13,9,7,10,2016,F
16,16,H. Solo,GK,87,87,33,United States,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,84,85,73,85,87,2016,F
17,17,L. Schelin,ST,87,87,31,Sweden,Right,88.0,87.0,77.0,79.0,41.0,77.0,7,11,5,10,5,2016,F
18,18,B. Sauerbrunn,CB,86,87,30,United States,Right,73.0,31.0,49.0,55.0,86.0,85.0,13,10,5,8,9,2016,F
19,19,N. Angerer,GK,86,86,36,Germany,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,81,87,73,91,83,2016,F
20,20,D. Marozsán,CAM,86,91,23,Germany,Right,75.0,83.0,87.0,84.0,52.0,74.0,6,8,13,7,10,2016,F
21,21,D. Marozsán,CM,86,91,23,Germany,Right,75.0,83.0,87.0,84.0,52.0,74.0,6,8,13,7,10,2016,F
22,22,C. Šašić,ST,85,87,27,Germany,Right,75.0,84.0,66.0,78.0,36.0,79.0,14,7,15,7,13,2016,F
23,23,C. Rampone,CB,85,85,40,United States,Right,63.0,29.0,49.0,61.0,87.0,75.0,12,12,14,13,12,2016,F
24,24,T. Heath,LM,85,88,27,United States,Left,72.0,66.0,86.0,89.0,32.0,63.0,10,5,5,14,6,2016,F
25,25,T. Heath,CAM,85,88,27,United States,Left,72.0,66.0,86.0,89.0,32.0,63.0,10,5,5,14,6,2016,F
26,26,T. Heath,RM,85,88,27,United States,Left,72.0,66.0,86.0,89.0,32.0,63.0,10,5,5,14,6,2016,F
27,27,A. Morgan,ST,84,88,25,United States,Left,83.0,81.0,70.0,81.0,42.0,71.0,9,9,8,8,9,2016,F
28,28,A. Mittag,CF,84,84,30,Germany,Right,75.0,84.0,75.0,81.0,32.0,72.0,13,5,12,10,10,2016,F
29,29,A. Mittag,ST,84,84,30,Germany,Right,75.0,84.0,75.0,81.0,32.0,72.0,13,5,12,10,10,2016,F
30,30,A. Mittag,CAM,84,84,30,Germany,Right,75.0,84.0,75.0,81.0,32.0,72.0,13,5,12,10,10,2016,F
31,31,Rosana,LM,84,84,32,Brazil,Left,84.0,79.0,79.0,84.0,49.0,67.0,11,5,9,6,9,2016,F
32,32,Rosana,RM,84,84,32,Brazil,Left,84.0,79.0,79.0,84.0,49.0,67.0,11,5,9,6,9,2016,F
33,33,Rosana,LB,84,84,32,Brazil,Left,84.0,79.0,79.0,84.0,49.0,67.0,11,5,9,6,9,2016,F
34,34,N. Fischer,CB,84,84,30,Sweden,Right,48.0,30.0,56.0,53.0,86.0,84.0,9,6,13,8,10,2016,F
35,35,C. Seger,CM,84,84,30,Sweden,Right,51.0,77.0,80.0,76.0,79.0,78.0,13,6,12,15,10,2016,F
36,36,C. Seger,CDM,84,84,30,Sweden,Right,51.0,77.0,80.0,76.0,79.0,78.0,13,6,12,15,10,2016,F
37,37,G. Thiney,ST,84,84,29,France,Right,79.0,84.0,73.0,82.0,39.0,67.0,12,12,12,5,8,2016,F
38,38,E. McLeod,GK,84,84,32,Canada,Right,74.26460005535566,62.49321893163576,67.25159147522834,72.22446720177138,57.700802657071684,67.97979518405756,83,79,75,82,86,2016,F
39,39,S. Schmidt,CM,84,86,27,Canada,Right,68.0,74.0,79.0,80.0,57.0,65.0,9,8,7,14,6,2016,F
40,40,S. Schmidt,RW,84,86,27,Canada,Right,68.0,74.0,79.0,80.0,57.0,65.0,9,8,7,14,6,2016,F
